"","cutoffIndex","Fscore"
"1",0.99998045,0.923333984165495
"2",0.99997807,0.9234048061173
"3",0.9999759,0.923475638934368
"4",0.9999745,0.923463905283347
"5",0.99997437,0.92353475893846
"6",0.9999739,0.923676498871582
"7",0.9999739,0.923676498871582
"8",0.9999734,0.923747385154597
"9",0.99997115,0.923818282318588
"10",0.9999703,0.92388919036606
"11",0.99996924,0.923877513000242
"12",0.99996686,0.92394844192598
"13",0.9999666,0.924019381743419
"14",0.9999654,0.924090332455068
"15",0.9999652,0.924078681497965
"16",0.999962,0.924067026961473
"17",0.99995947,0.924138008582038
"18",0.99995804,0.924126360474804
"19",0.9999573,0.924114708787681
"20",0.99995625,0.924185721343726
"21",0.99995434,0.924174076094182
"22",0.9999535,0.924316154000476
"23",0.9999535,0.924316154000476
"24",0.99995244,0.924304525224051
"25",0.99995124,0.924375590591803
"26",0.99995065,0.924363968273352
"27",0.9999486,0.924435054607318
"28",0.9999485,0.924506151875625
"29",0.99994814,0.924494546066006
"30",0.999948,0.924482936685108
"31",0.9999473,0.924471323731282
"32",0.99994636,0.924542462085565
"33",0.9999455,0.924613611388928
"34",0.9999453,0.924684771643898
"35",0.99994445,0.924673185291218
"36",0.999944,0.924744366565369
"37",0.999944,0.924744366565369
"38",0.9999435,0.924732786712796
"39",0.99994254,0.924803989017957
"40",0.99994016,0.924792415672735
"41",0.99994004,0.924780838762108
"42",0.9999392,0.924780838762108
"43",0.99993837,0.92476925828443
"44",0.99993515,0.924757674238051
"45",0.999933,0.924746086621321
"46",0.9999325,0.924817350306345
"47",0.999931,0.924888624975799
"48",0.99993014,0.924959910632222
"49",0.9999293,0.925031207278156
"50",0.9999285,0.925019656474275
"51",0.9999274,0.925008102108093
"52",0.99992657,0.925079429957601
"53",0.9999262,0.925150768808212
"54",0.999926,0.925139231101388
"55",0.99992514,0.925210591072186
"56",0.99992204,0.925281962052436
"57",0.9999219,0.925258916447179
"58",0.9999219,0.925258916447179
"59",0.9999218,0.925330318694097
"60",0.9999217,0.925318800687646
"61",0.99992156,0.925390224090517
"62",0.9999207,0.925461658520282
"63",0.9999206,0.925533103979495
"64",0.9999193,0.925521612839744
"65",0.9999187,0.925521612839744
"66",0.9999182,0.925593079478499
"67",0.9999156,0.925570106852894
"68",0.9999156,0.925570106852894
"69",0.99991465,0.925641604839686
"70",0.9999143,0.925713113873415
"71",0.99991393,0.92570164255881
"72",0.99991333,0.92577317280799
"73",0.999908,0.925761708116494
"74",0.9999043,0.925833259593116
"75",0.99990404,0.925821801532106
"76",0.9999038,0.925810339927836
"77",0.9999013,0.925881922825031
"78",0.9999,0.886412470547864
"79",0.9999,0.886412470547864
"80",0.9999,0.886412470547864
"81",0.9999,0.886412470547864
"82",0.9999,0.886412470547864
"83",0.9999,0.886412470547864
"84",0.9999,0.886412470547864
"85",0.9999,0.886412470547864
"86",0.9999,0.886412470547864
"87",0.9999,0.886412470547864
"88",0.9999,0.886412470547864
"89",0.9999,0.886412470547864
"90",0.9999,0.886412470547864
"91",0.9999,0.886412470547864
