"","cutoff_index","TP_ALL"
"255",183935.1,5853
"256",183523.39,5852
"257",183392.31,5851
"258",183352.06,5851
"259",183297,5850
"260",183234.5,5849
"261",182775.8,5849
"262",182491.66,5848
"263",182323.84,5847
"264",181917.95,5846
"265",181897.98,5845
"266",181615.95,5845
"267",181546.66,5844
"268",181243.86,5843
"269",180948.6,5842
"270",180827.14,5841
"271",180603.67,5841
"272",180208.98,5840
"273",180114.94,5839
"274",179846.88,5839
"275",179800.98,5838
"276",179581.66,5838
"277",179512.06,5837
"278",179054.19,5836
"279",179014.52,5835
"280",178568,5835
"281",178269.64,5835
"282",177588.34,5835
"283",177491.95,5834
"284",177368.95,5833
"285",177148.1,5832
"286",176986.75,5831
"287",176922.9,5830
"288",176680.78,5829
"289",176602.6,5828
"290",176571.3,5827
"291",175370.08,5826
"292",175199.44,5826
"293",174802.7,5825
"294",174736.88,5824
"295",174586.75,5823
"296",174505.7,5823
"297",174468.98,5823
"298",174294.92,5822
"299",174269.86,5821
"300",174255.84,5820
"301",174203.34,5819
"302",174128.64,5818
"303",174034.9,5818
"304",173934.19,5817
"305",173843.84,5816
"306",173277.33,5816
"307",173090.08,5815
"308",172878.58,5814
"309",172723.89,5813
"310",172688.84,5812
"311",172633.88,5811
"312",172406.55,5810
"313",171943.31,5809
"314",171915.72,5808
"315",171761.3,5808
"316",171162.22,5807
"317",171001.12,5806
"318",170833.53,5805
"319",170805.97,5804
"320",170618.23,5803
"321",170460.69,5802
"322",170189.3,5801
"323",169812.45,5800
"324",169665.12,5799
"325",169319.4,5798
"326",169206.6,5798
"327",168791.67,5797
"328",168336.38,5796
"329",168281.06,5795
"330",168184,5794
"331",168174.11,5794
"332",167792.03,5794
"333",167229,5793
"334",166946.16,5792
"335",166813.81,5792
"336",166715.45,5791
"337",166578.97,5790
"338",166568.44,5789
"339",166122.92,5788
"340",165778.77,5787
"341",165625.53,5786
"342",165112.16,5785
"343",164843.97,5785
"344",164660.22,5784
"345",164465.34,5783
"346",164357.31,5783
"347",164331.97,5782
"348",163741.1,5781
"349",163530.14,5780
"350",163519.38,5780
"351",163504.58,5779
"352",163238.73,5778
"353",163172.84,5777
"354",162659.19,5776
"355",162628.22,5775
"356",162544.66,5774
"357",162242.1,5773
"358",162180.81,5773
"359",161996.34,5772
"360",161909.67,5771
"361",161881.3,5771
"362",161816.73,5770
"363",161812.06,5769
"364",161641.73,5768
"365",161189.53,5767
"366",161167.8,5766
"367",160673.67,5765
"368",159997.06,5764
"369",159915.48,5763
