"","cutoff_index","FN_ALL"
"280",178568,185
"281",178269.64,185
"282",177588.34,185
"283",177491.95,186
"284",177368.95,187
"285",177148.1,188
"286",176986.75,189
"287",176922.9,190
"288",176680.78,191
"289",176602.6,192
"290",176571.3,193
"291",175370.08,194
"292",175199.44,194
"293",174802.7,195
"294",174736.88,196
"295",174586.75,197
"296",174505.7,197
"297",174468.98,197
"298",174294.92,198
"299",174269.86,199
"300",174255.84,200
"301",174203.34,201
"302",174128.64,202
"303",174034.9,202
"304",173934.19,203
"305",173843.84,204
"306",173277.33,204
"307",173090.08,205
"308",172878.58,206
"309",172723.89,207
"310",172688.84,208
"311",172633.88,209
"312",172406.55,210
"313",171943.31,211
"314",171915.72,212
"315",171761.3,212
"316",171162.22,213
"317",171001.12,214
"318",170833.53,215
"319",170805.97,216
"320",170618.23,217
"321",170460.69,218
"322",170189.3,219
"323",169812.45,220
"324",169665.12,221
"325",169319.4,222
"326",169206.6,222
"327",168791.67,223
"328",168336.38,224
"329",168281.06,225
"330",168184,226
"331",168174.11,226
"332",167792.03,226
"333",167229,227
"334",166946.16,228
"335",166813.81,228
"336",166715.45,229
"337",166578.97,230
"338",166568.44,231
"339",166122.92,232
"340",165778.77,233
"341",165625.53,234
"342",165112.16,235
"343",164843.97,235
"344",164660.22,236
"345",164465.34,237
"346",164357.31,237
"347",164331.97,238
"348",163741.1,239
"349",163530.14,240
"350",163519.38,240
"351",163504.58,241
"352",163238.73,242
"353",163172.84,243
"354",162659.19,244
"355",162628.22,245
"356",162544.66,246
"357",162242.1,247
"358",162180.81,247
"359",161996.34,248
"360",161909.67,249
"361",161881.3,249
"362",161816.73,250
"363",161812.06,251
"364",161641.73,252
"365",161189.53,253
"366",161167.8,254
"367",160673.67,255
"368",159997.06,256
"369",159915.48,257
"370",159642.48,257
"371",159556.4,258
"372",159076.52,259
"373",159060.14,260
"374",158834.28,260
"375",158543.06,261
"376",158350.48,262
"377",158210.98,263
"378",158079.33,264
"379",157702.25,265
"380",155936.17,266
"381",155909.88,267
"382",155873.31,268
"383",155442.25,268
"384",155441.17,268
"385",155385.61,269
"386",155373.84,270
"387",155351.25,271
"388",155349.33,271
"389",155311.72,272
"390",155264.31,273
"391",155096.4,274
"392",154844.22,275
"393",154578.52,276
"394",154334.02,277
"395",154110.2,277
"396",154081.53,278
"397",153851.4,278
"398",153725.45,278
"399",153673.8,279
"400",153538.16,280
"401",153523.2,281
"402",153458.39,282
"403",153404.06,283
"404",153051.19,284
"405",153009.52,285
"406",152605.28,286
"407",152454.88,286
"408",152448.3,287
"409",152388.73,287
"410",152318.36,288
"411",151625.72,289
"412",151600.48,290
"413",151481.78,290
"414",151386.64,291
"415",151357.78,292
"416",151290.95,293
"417",151268.11,294
"418",151205.86,295
"419",151117.44,296
"420",151050.2,297
"421",151018.83,297
"422",150945.2,298
"423",150938.36,299
"424",150667.77,299
"425",150389.95,300
"426",150126.62,301
"427",150082.5,302
"428",149968.94,303
"429",149925.03,304
"430",149808.42,304
"431",149243.47,305
"432",149236.28,306
"433",148954.88,307
"434",148704.88,308
"435",148654.2,309
"436",148228.72,310
"437",148159.22,311
"438",148148.81,312
"439",147997.7,313
"440",147778.12,313
"441",147721.23,313
"442",147719.56,314
"443",147637.56,315
"444",147445.27,316
"445",147395.7,316
"446",147184.03,317
"447",147013.5,318
"448",147010.84,319
"449",146976.72,320
"450",146950.72,320
"451",146766.88,320
"452",146503.62,321
"453",146436.47,322
"454",146160.06,323
"455",146127.9,324
"456",146124.16,324
"457",146023.25,325
"458",145873.56,325
"459",145835.3,326
"460",145794.03,326
"461",145768.36,327
"462",145589.66,328
"463",145223.56,328
"464",145215.47,328
"465",145093.03,329
"466",145011.94,330
"467",144469.03,331
"468",144004.12,331
"469",143979.53,332
"470",143827.53,333
"471",143722.17,334
"472",143346.22,334
"473",143332.77,335
"474",143268.33,336
"475",143031.67,337
"476",142954.89,338
"477",142949.66,339
"478",142713.9,339
"479",142671.89,340
"480",142541.77,341
"481",142497.58,342
"482",142319.23,343
"483",142269.3,344
"484",142220.11,345
"485",141988.75,346
"486",141931.69,346
"487",141811.03,347
"488",141809.81,348
"489",141747.4,349
"490",141623.64,350
"491",141304.98,351
"492",141253.17,352
"493",141241.39,353
"494",141202.2,354
"495",141093.16,355
"496",141058.94,355
"497",141018.84,355
"498",140925.38,356
"499",140896.38,356
"500",140848.73,357
"501",140742.89,357
"502",140634.67,358
"503",140617.77,359
"504",140251.5,360
"505",140248.81,361
"506",140163.44,362
"507",139612.92,363
"508",139439.78,364
