"","cutoff_index","FP_ALL"
"280",178568,905
"281",178269.64,904
"282",177588.34,903
"283",177491.95,903
"284",177368.95,903
"285",177148.1,903
"286",176986.75,903
"287",176922.9,903
"288",176680.78,903
"289",176602.6,903
"290",176571.3,903
"291",175370.08,903
"292",175199.44,902
"293",174802.7,902
"294",174736.88,902
"295",174586.75,902
"296",174505.7,901
"297",174468.98,900
"298",174294.92,900
"299",174269.86,900
"300",174255.84,900
"301",174203.34,900
"302",174128.64,900
"303",174034.9,899
"304",173934.19,899
"305",173843.84,899
"306",173277.33,898
"307",173090.08,898
"308",172878.58,898
"309",172723.89,898
"310",172688.84,898
"311",172633.88,898
"312",172406.55,898
"313",171943.31,898
"314",171915.72,898
"315",171761.3,897
"316",171162.22,897
"317",171001.12,897
"318",170833.53,897
"319",170805.97,897
"320",170618.23,897
"321",170460.69,897
"322",170189.3,897
"323",169812.45,897
"324",169665.12,897
"325",169319.4,897
"326",169206.6,896
"327",168791.67,896
"328",168336.38,896
"329",168281.06,896
"330",168184,896
"331",168174.11,895
"332",167792.03,894
"333",167229,894
"334",166946.16,894
"335",166813.81,893
"336",166715.45,893
"337",166578.97,893
"338",166568.44,893
"339",166122.92,893
"340",165778.77,893
"341",165625.53,893
"342",165112.16,893
"343",164843.97,892
"344",164660.22,892
"345",164465.34,892
"346",164357.31,891
"347",164331.97,891
"348",163741.1,891
"349",163530.14,891
"350",163519.38,890
"351",163504.58,890
"352",163238.73,890
"353",163172.84,890
"354",162659.19,890
"355",162628.22,890
"356",162544.66,890
"357",162242.1,890
"358",162180.81,889
"359",161996.34,889
"360",161909.67,889
"361",161881.3,888
"362",161816.73,888
"363",161812.06,888
"364",161641.73,888
"365",161189.53,888
"366",161167.8,888
"367",160673.67,888
"368",159997.06,888
"369",159915.48,888
"370",159642.48,887
"371",159556.4,887
"372",159076.52,887
"373",159060.14,887
"374",158834.28,886
"375",158543.06,886
"376",158350.48,886
"377",158210.98,886
"378",158079.33,886
"379",157702.25,886
"380",155936.17,886
"381",155909.88,886
"382",155873.31,886
"383",155442.25,885
"384",155441.17,884
"385",155385.61,884
"386",155373.84,884
"387",155351.25,884
"388",155349.33,883
"389",155311.72,883
"390",155264.31,883
"391",155096.4,883
"392",154844.22,883
"393",154578.52,883
"394",154334.02,883
"395",154110.2,882
"396",154081.53,882
"397",153851.4,881
"398",153725.45,880
"399",153673.8,880
"400",153538.16,880
"401",153523.2,880
"402",153458.39,880
"403",153404.06,880
"404",153051.19,880
"405",153009.52,880
"406",152605.28,880
"407",152454.88,879
"408",152448.3,879
"409",152388.73,878
"410",152318.36,878
"411",151625.72,878
"412",151600.48,878
"413",151481.78,877
"414",151386.64,877
"415",151357.78,877
"416",151290.95,877
"417",151268.11,877
"418",151205.86,877
"419",151117.44,877
"420",151050.2,877
"421",151018.83,876
"422",150945.2,876
"423",150938.36,876
"424",150667.77,875
"425",150389.95,875
"426",150126.62,875
"427",150082.5,875
"428",149968.94,875
"429",149925.03,875
"430",149808.42,874
"431",149243.47,874
"432",149236.28,874
"433",148954.88,874
"434",148704.88,874
"435",148654.2,874
"436",148228.72,874
"437",148159.22,874
"438",148148.81,874
"439",147997.7,874
"440",147778.12,873
"441",147721.23,872
"442",147719.56,872
"443",147637.56,872
"444",147445.27,872
"445",147395.7,871
"446",147184.03,871
"447",147013.5,871
"448",147010.84,871
"449",146976.72,871
"450",146950.72,870
"451",146766.88,869
"452",146503.62,869
"453",146436.47,869
"454",146160.06,869
"455",146127.9,869
"456",146124.16,868
"457",146023.25,868
"458",145873.56,867
"459",145835.3,867
"460",145794.03,866
"461",145768.36,866
"462",145589.66,866
"463",145223.56,865
"464",145215.47,864
"465",145093.03,864
"466",145011.94,864
"467",144469.03,864
"468",144004.12,863
"469",143979.53,863
"470",143827.53,863
"471",143722.17,863
"472",143346.22,862
"473",143332.77,862
"474",143268.33,862
"475",143031.67,862
"476",142954.89,862
"477",142949.66,862
"478",142713.9,861
"479",142671.89,861
"480",142541.77,861
"481",142497.58,861
"482",142319.23,861
"483",142269.3,861
"484",142220.11,861
"485",141988.75,861
"486",141931.69,860
"487",141811.03,860
"488",141809.81,860
"489",141747.4,860
"490",141623.64,860
"491",141304.98,860
"492",141253.17,860
"493",141241.39,860
"494",141202.2,860
"495",141093.16,860
"496",141058.94,859
"497",141018.84,858
"498",140925.38,858
"499",140896.38,857
"500",140848.73,857
"501",140742.89,856
"502",140634.67,856
"503",140617.77,856
"504",140251.5,856
"505",140248.81,856
"506",140163.44,856
"507",139612.92,856
"508",139439.78,856
"509",139435.3,856
"510",139361.22,856
"511",139116.72,856
"512",139087,855
"513",138957.67,855
"514",138471.78,855
"515",138470.06,855
"516",138429.69,854
"517",138394.83,853
"518",138327.56,853
"519",138314.19,853
"520",138089.1,853
"521",137833.19,852
"522",137733,852
"523",137555.97,852
"524",137507.86,852
"525",137290.17,851
"526",137240.14,851
"527",137204.16,851
"528",137105.34,850
"529",137031.81,850
"530",136719.47,850
"531",136707.28,850
"532",136673.5,850
"533",136668.84,849
"534",136663.08,849
"535",136570.66,849
"536",136502.73,849
"537",136391.27,848
"538",136335.83,848
"539",136265.03,847
"540",136227.44,847
"541",136045.84,847
"542",135830.7,847
"543",135822.67,847
"544",135791.34,847
"545",135604.39,847
"546",135591.6,847
"547",135590.27,847
"548",135407.72,847
"549",135343.75,847
"550",135324.5,847
"551",135306.84,847
"552",135287.5,847
"553",135184.98,847
"554",135156.67,846
"555",135039.34,846
"556",135000.5,846
"557",134922.31,846
"558",134621.89,846
"559",134525.14,846
"560",134523.64,846
"561",134018.66,846
"562",133908.44,846
"563",133745.69,846
"564",133571.9,846
"565",133390.39,846
"566",133266.75,846
"567",132945.11,846
"568",132827.94,846
"569",132779.27,846
"570",132768.88,845
"571",132746.95,845
"572",132709.02,845
"573",132687.22,844
"574",132478.72,843
"575",132342.36,843
"576",132337.94,843
"577",132239.5,843
"578",132209.03,843
"579",132038.7,843
"580",132031.95,843
"581",131948.62,843
"582",131754.39,843
"583",131663.92,843
"584",131661.56,843
"585",131554.94,843
"586",131549.45,843
"587",131472.27,843
"588",131294.44,843
"589",131206.86,843
"590",131082.83,843
"591",131055.39,842
"592",130932.14,842
"593",130898.41,842
"594",130859.96,842
"595",130558.61,842
"596",130531.125,842
"597",130382.97,842
"598",130286.25,842
"599",130281.555,842
"600",130203.14,842
"601",130145.695,842
"602",130020.41,842
"603",129944.53,842
"604",129911.61,842
"605",129754.45,841
"606",129445.195,841
"607",129223.625,841
"608",129079.28,840
"609",128849.4,839
"610",128844.37,839
"611",128840.72,839
"612",128792.33,839
"613",128781.414,839
"614",128661.48,838
"615",128558.48,837
"616",128474.836,836
"617",128199.516,835
"618",128184.16,835
"619",128148.56,835
"620",127936.09,834
"621",127922.62,834
"622",127914,833
"623",127866.375,833
"624",127774.05,832
"625",127675.33,832
"626",127575.99,832
"627",127537.49,832
"628",127533.086,831
"629",127430.59,831
"630",127319.19,831
"631",127269.15,831
"632",127237.664,831
"633",126767.4,831
"634",126649.92,831
"635",126640.53,831
"636",126479.13,831
"637",126404.07,831
"638",126248.016,831
"639",126229.055,830
"640",126177.766,830
"641",126171.625,830
"642",125974.35,830
"643",125956.44,830
"644",125838.85,830
"645",125830.51,830
"646",125770.28,830
"647",125762.17,829
"648",125747.65,829
"649",125580.82,829
"650",125533.266,829
"651",125426.09,829
"652",125213.016,828
"653",125119.234,828
"654",125092.555,828
"655",125073.65,828
"656",124910.89,828
"657",124760.58,827
"658",124743.55,826
"659",124681.29,825
"660",124594.5,825
"661",124506.445,825
"662",124473.875,825
"663",124248.7,824
"664",124226.3,824
"665",124199.72,824
"666",124178.32,824
"667",124168.75,824
"668",123768.43,824
"669",123620.94,824
"670",123480.555,824
"671",123430.72,824
"672",123427.61,824
"673",123285.92,824
"674",123206.93,824
"675",123153.4,824
"676",123121.77,824
"677",123044.83,824
"678",123006.13,824
"679",122986.72,824
"680",122799.66,824
"681",122757.414,824
"682",122703.88,824
"683",122702.33,824
"684",122611.37,824
"685",122579.07,824
"686",122542.305,824
"687",122090.72,824
"688",122023.28,824
"689",121982.51,824
"690",121926.1,824
"691",121785.086,824
"692",121687.086,824
"693",121623.875,824
"694",121547.31,823
"695",121544.6,823
"696",121517.63,823
"697",121426.57,823
"698",121391.83,823
"699",121280.914,823
"700",121256.69,823
"701",121188.49,823
"702",121100.055,823
"703",120903.305,823
"704",120881.734,823
"705",120731.695,823
"706",120622.12,823
"707",120415.445,823
"708",120315.34,823
"709",120219.016,823
"710",120212.34,823
"711",119930.41,823
"712",119813.41,823
"713",119749.766,823
"714",119691.6,823
"715",119564.09,822
"716",119434.03,822
"717",119271.78,821
