"","cutoffIndex","data_recall_All"
"1",0.999999996550466,0.999833887043189
"2",0.999999929055137,0.999667774086379
"3",0.99999992111625,0.999501661129568
"4",0.999999915678723,0.999335548172757
"5",0.999999897218866,0.999169435215947
"6",0.999999845417613,0.999003322259136
"7",0.99999984449001,0.998837209302326
"8",0.999999779396621,0.998671096345515
"9",0.999999744032202,0.998504983388704
"10",0.999999684821058,0.998338870431894
"11",0.999999661786157,0.998172757475083
"12",0.999999585392529,0.998006644518272
"13",0.999999452455859,0.997840531561462
"14",0.999999387219195,0.997674418604651
"15",0.999999108627954,0.997508305647841
"16",0.999998814191748,0.99734219269103
"17",0.999998542418872,0.997176079734219
"18",0.999998460470076,0.997009966777409
"19",0.999998342470472,0.996843853820598
"20",0.999997857932095,0.996677740863787
"21",0.999997800375795,0.996511627906977
"22",0.99999744563309,0.996345514950166
"23",0.999997430222881,0.996179401993356
"24",0.999997294147908,0.996013289036545
"25",0.999996968767773,0.995847176079734
"26",0.999996604622496,0.995681063122924
"27",0.999996598172228,0.995514950166113
"28",0.999996160437898,0.995348837209302
"29",0.999994216149262,0.995182724252492
"30",0.999993864882098,0.995016611295681
"31",0.99999350049047,0.99485049833887
"32",0.999993239253517,0.99468438538206
"33",0.999992996221034,0.994518272425249
"34",0.999992012240569,0.994352159468439
"35",0.999991737764712,0.994186046511628
"36",0.999991409056011,0.994019933554817
"37",0.999991323827252,0.993853820598007
"38",0.999990200075605,0.993687707641196
"39",0.999987596622537,0.993521594684385
"40",0.999987187541654,0.993355481727575
"41",0.999986032951208,0.993189368770764
"42",0.999985474670133,0.993023255813953
"43",0.999985298330399,0.992857142857143
"44",0.999983843107244,0.992857142857143
"45",0.999983314283791,0.992691029900332
"46",0.999982949047206,0.992524916943522
"47",0.999980855623084,0.992358803986711
"48",0.999980630377584,0.992358803986711
"49",0.999980113257978,0.9921926910299
"50",0.99997901491089,0.99202657807309
"51",0.999978317658014,0.991860465116279
"52",0.999978281903434,0.991694352159468
"53",0.999978273971296,0.991528239202658
"54",0.999976373806447,0.991362126245847
"55",0.999974151375322,0.991196013289037
"56",0.999971421753067,0.991029900332226
