"","cutoff_index","TP_ALL"
"1",0.99998045,6020
"2",0.99997807,6020
"3",0.9999759,6020
"4",0.9999745,6019
"5",0.99997437,6019
"6",0.9999739,6019
"7",0.9999739,6019
"8",0.9999734,6019
"9",0.99997115,6019
"10",0.9999703,6019
"11",0.99996924,6018
"12",0.99996686,6018
"13",0.9999666,6018
"14",0.9999654,6018
"15",0.9999652,6017
"16",0.999962,6016
"17",0.99995947,6016
"18",0.99995804,6015
"19",0.9999573,6014
"20",0.99995625,6014
"21",0.99995434,6013
"22",0.9999535,6013
"23",0.9999535,6013
"24",0.99995244,6012
"25",0.99995124,6012
"26",0.99995065,6011
"27",0.9999486,6011
"28",0.9999485,6011
"29",0.99994814,6010
"30",0.999948,6009
"31",0.9999473,6008
"32",0.99994636,6008
"33",0.9999455,6008
"34",0.9999453,6008
"35",0.99994445,6007
"36",0.999944,6007
"37",0.999944,6007
"38",0.9999435,6006
"39",0.99994254,6006
"40",0.99994016,6005
"41",0.99994004,6004
"42",0.9999392,6004
"43",0.99993837,6003
"44",0.99993515,6002
"45",0.999933,6001
"46",0.9999325,6001
"47",0.999931,6001
"48",0.99993014,6001
"49",0.9999293,6001
"50",0.9999285,6000
"51",0.9999274,5999
"52",0.99992657,5999
"53",0.9999262,5999
"54",0.999926,5998
"55",0.99992514,5998
"56",0.99992204,5998
"57",0.9999219,5996
"58",0.9999219,5996
"59",0.9999218,5996
"60",0.9999217,5995
"61",0.99992156,5995
"62",0.9999207,5995
"63",0.9999206,5995
"64",0.9999193,5994
"65",0.9999187,5994
"66",0.9999182,5994
"67",0.9999156,5992
"68",0.9999156,5992
"69",0.99991465,5992
"70",0.9999143,5992
"71",0.99991393,5991
"72",0.99991333,5991
"73",0.999908,5990
"74",0.9999043,5990
"75",0.99990404,5989
"76",0.9999038,5988
"77",0.9999013,5988
"78",0.9999,3693
"79",0.9999,3693
"80",0.9999,3693
"81",0.9999,3693
"82",0.9999,3693
"83",0.9999,3693
"84",0.9999,3693
"85",0.9999,3693
"86",0.9999,3693
"87",0.9999,3693
"88",0.9999,3693
"89",0.9999,3693
"90",0.9999,3693
"91",0.9999,3693
"92",0.9999,3693
"93",0.9999,3693
"94",0.9999,3693
"95",0.9999,3693
"96",0.9999,3693
"97",0.9999,3693
"98",0.9999,3693
"99",0.9999,3693
"100",0.9999,3693
"101",0.9999,3693
"102",0.9999,3693
"103",0.9999,3693
"104",0.9999,3693
"105",0.9999,3693
"106",0.9999,3693
"107",0.9999,3693
"108",0.9999,3693
"109",0.9999,3693
"110",0.9999,3693
"111",0.9999,3693
"112",0.9999,3693
"113",0.9999,3693
"114",0.9999,3693
"115",0.9999,3693
"116",0.9999,3693
"117",0.9999,3693
"118",0.9999,3693
"119",0.9999,3693
"120",0.9999,3693
"121",0.9999,3693
"122",0.9999,3693
"123",0.9999,3693
"124",0.9999,3693
"125",0.9999,3693
"126",0.9999,3693
"127",0.9999,3693
"128",0.9999,3693
"129",0.9999,3693
"130",0.9999,3693
"131",0.9999,3693
"132",0.9999,3693
"133",0.9999,3693
"134",0.9999,3693
"135",0.9999,3693
"136",0.9999,3693
"137",0.9999,3693
"138",0.9999,3693
"139",0.9999,3693
"140",0.9999,3693
"141",0.9999,3693
"142",0.9999,3693
"143",0.9999,3693
"144",0.9999,3693
"145",0.9999,3693
"146",0.9999,3693
"147",0.9999,3693
"148",0.9999,3693
"149",0.9999,3693
"150",0.9999,3693
"151",0.9999,3693
"152",0.9999,3693
"153",0.9999,3693
"154",0.9999,3693
"155",0.9999,3693
"156",0.9999,3693
"157",0.9999,3693
"158",0.9999,3693
"159",0.9999,3693
"160",0.9999,3693
"161",0.9999,3693
"162",0.9999,3693
"163",0.9999,3693
"164",0.9999,3693
"165",0.9999,3693
"166",0.9999,3693
"167",0.9999,3693
"168",0.9999,3693
"169",0.9999,3693
"170",0.9999,3693
"171",0.9999,3693
"172",0.9999,3693
"173",0.9999,3693
"174",0.9999,3693
"175",0.9999,3693
"176",0.9999,3693
"177",0.9999,3693
"178",0.9999,3693
"179",0.9999,3693
"180",0.9999,3693
"181",0.9999,3693
"182",0.9999,3693
"183",0.9999,3693
"184",0.9999,3693
"185",0.9999,3693
"186",0.9999,3693
"187",0.9999,3693
"188",0.9999,3693
"189",0.9999,3693
"190",0.9999,3693
"191",0.9999,3693
"192",0.9999,3693
"193",0.9999,3693
"194",0.9999,3693
"195",0.9999,3693
"196",0.9999,3693
"197",0.9999,3693
"198",0.9999,3693
"199",0.9999,3693
"200",0.9999,3693
"201",0.9999,3693
"202",0.9999,3693
"203",0.9999,3693
"204",0.9999,3693
"205",0.9999,3693
"206",0.9999,3693
"207",0.9999,3693
"208",0.9999,3693
"209",0.9999,3693
"210",0.9999,3693
"211",0.9999,3693
"212",0.9999,3693
"213",0.9999,3693
"214",0.9999,3693
"215",0.9999,3693
"216",0.9999,3693
"217",0.9999,3693
"218",0.9999,3693
"219",0.9999,3693
"220",0.9999,3693
"221",0.9999,3693
"222",0.9999,3693
"223",0.9999,3693
"224",0.9999,3693
"225",0.9999,3693
"226",0.9999,3693
"227",0.9999,3693
"228",0.9999,3693
"229",0.9999,3693
"230",0.9999,3693
"231",0.9999,3693
"232",0.9999,3693
"233",0.9999,3693
"234",0.9999,3693
"235",0.9999,3693
"236",0.9999,3693
"237",0.9999,3693
"238",0.9999,3693
"239",0.9999,3693
"240",0.9999,3693
"241",0.9999,3693
"242",0.9999,3693
"243",0.9999,3693
"244",0.9999,3693
"245",0.9999,3693
"246",0.9999,3693
"247",0.9999,3693
"248",0.9999,3693
"249",0.9999,3693
"250",0.9999,3693
"251",0.9999,3693
"252",0.9999,3693
"253",0.9999,3693
"254",0.9999,3693
"255",0.9999,3693
"256",0.9999,3693
"257",0.9999,3693
"258",0.9999,3693
"259",0.9999,3693
"260",0.9999,3693
"261",0.9999,3693
"262",0.9999,3693
"263",0.9999,3693
"264",0.9999,3693
"265",0.9999,3693
"266",0.9999,3693
"267",0.9999,3693
"268",0.9999,3693
"269",0.9999,3693
"270",0.9999,3693
"271",0.9999,3693
"272",0.9999,3693
"273",0.9999,3693
"274",0.9999,3693
"275",0.9999,3693
"276",0.9999,3693
"277",0.9999,3693
"278",0.9999,3693
"279",0.9999,3693
"280",0.9999,3693
"281",0.9999,3693
"282",0.9999,3693
"283",0.9999,3693
"284",0.9999,3693
"285",0.9999,3693
"286",0.9999,3693
"287",0.9999,3693
"288",0.9999,3693
"289",0.9999,3693
"290",0.9999,3693
"291",0.9999,3693
"292",0.9999,3693
"293",0.9999,3693
"294",0.9999,3693
"295",0.9999,3693
"296",0.9999,3693
"297",0.9999,3693
"298",0.9999,3693
"299",0.9999,3693
"300",0.9999,3693
"301",0.9999,3693
"302",0.9999,3693
"303",0.9999,3693
"304",0.9999,3693
"305",0.9999,3693
"306",0.9999,3693
"307",0.9999,3693
"308",0.9999,3693
"309",0.9999,3693
"310",0.9999,3693
"311",0.9999,3693
"312",0.9999,3693
"313",0.9999,3693
"314",0.9999,3693
"315",0.9999,3693
"316",0.9999,3693
"317",0.9999,3693
"318",0.9999,3693
"319",0.9999,3693
"320",0.9999,3693
"321",0.9999,3693
"322",0.9999,3693
"323",0.9999,3693
"324",0.9999,3693
"325",0.9999,3693
"326",0.9999,3693
"327",0.9999,3693
"328",0.9999,3693
"329",0.9999,3693
"330",0.9999,3693
"331",0.9999,3693
"332",0.9999,3693
"333",0.9999,3693
"334",0.9999,3693
"335",0.9999,3693
"336",0.9999,3693
"337",0.9999,3693
"338",0.9999,3693
"339",0.9999,3693
"340",0.9999,3693
"341",0.9999,3693
"342",0.9999,3693
"343",0.9999,3693
"344",0.9999,3693
"345",0.9999,3693
"346",0.9999,3693
"347",0.9999,3693
"348",0.9999,3693
"349",0.9999,3693
"350",0.9999,3693
