"","cutoff_index","TP_ALL"
"1",0.999999996550466,6019
"2",0.999999929055137,6018
"3",0.99999992111625,6017
"4",0.999999915678723,6016
"5",0.999999897218866,6015
"6",0.999999845417613,6014
"7",0.99999984449001,6013
"8",0.999999779396621,6012
"9",0.999999744032202,6011
"10",0.999999684821058,6010
"11",0.999999661786157,6009
"12",0.999999585392529,6008
"13",0.999999452455859,6007
"14",0.999999387219195,6006
"15",0.999999108627954,6005
"16",0.999998814191748,6004
"17",0.999998542418872,6003
"18",0.999998460470076,6002
"19",0.999998342470472,6001
"20",0.999997857932095,6000
"21",0.999997800375795,5999
"22",0.99999744563309,5998
"23",0.999997430222881,5997
"24",0.999997294147908,5996
"25",0.999996968767773,5995
"26",0.999996604622496,5994
"27",0.999996598172228,5993
"28",0.999996160437898,5992
"29",0.999994216149262,5991
"30",0.999993864882098,5990
"31",0.99999350049047,5989
"32",0.999993239253517,5988
"33",0.999992996221034,5987
"34",0.999992012240569,5986
"35",0.999991737764712,5985
"36",0.999991409056011,5984
"37",0.999991323827252,5983
"38",0.999990200075605,5982
"39",0.999987596622537,5981
"40",0.999987187541654,5980
"41",0.999986032951208,5979
"42",0.999985474670133,5978
"43",0.999985298330399,5977
"44",0.999983843107244,5977
"45",0.999983314283791,5976
"46",0.999982949047206,5975
"47",0.999980855623084,5974
"48",0.999980630377584,5974
"49",0.999980113257978,5973
"50",0.99997901491089,5972
"51",0.999978317658014,5971
"52",0.999978281903434,5970
"53",0.999978273971296,5969
"54",0.999976373806447,5968
"55",0.999974151375322,5967
"56",0.999971421753067,5966
"57",0.999970402575372,5965
"58",0.999968972146797,5964
"59",0.999968392209437,5963
"60",0.99996247726944,5962
"61",0.999962412719929,5961
"62",0.999960911412449,5960
"63",0.999960508482416,5959
"64",0.999959796186722,5958
"65",0.999958610583326,5958
"66",0.999957510218178,5957
"67",0.999955851322049,5956
"68",0.999955572018961,5955
"69",0.999954934070388,5955
"70",0.999953136116666,5954
"71",0.999946981970026,5953
"72",0.999942590963201,5952
"73",0.999942557319415,5952
"74",0.999939999525998,5951
"75",0.999938756040951,5950
"76",0.999937577435237,5949
"77",0.999935190909377,5949
"78",0.999933621862494,5948
"79",0.999929710555633,5948
"80",0.999928473598104,5947
"81",0.999926153709978,5947
"82",0.999924703411007,5946
"83",0.999924253692641,5946
"84",0.999923892413194,5945
"85",0.999920347785064,5944
"86",0.999918536146947,5943
"87",0.99991791716882,5942
"88",0.999917006797405,5941
"89",0.999913200588539,5940
"90",0.99991226295329,5939
"91",0.999903069606383,5938
"92",0.999900302762203,5937
"93",0.999898744544951,5936
"94",0.999898400414682,5935
"95",0.999897046664607,5934
"96",0.999896782443963,5933
"97",0.999895330226857,5932
"98",0.999893848162785,5931
"99",0.999893700456605,5930
"100",0.99989020727506,5930
"101",0.999889200538481,5929
"102",0.999888955754402,5928
"103",0.999888030520156,5927
"104",0.999887406705648,5926
"105",0.999883707070543,5925
"106",0.999880362287446,5924
"107",0.99987984162683,5923
"108",0.999877281439562,5922
"109",0.999871843995483,5921
"110",0.999867611379385,5920
"111",0.999848353010895,5919
"112",0.999842696217307,5918
"113",0.999841916056138,5917
"114",0.999829853320037,5916
"115",0.999827609892274,5916
"116",0.99982591669459,5916
"117",0.999820087418018,5915
"118",0.999819043958004,5914
"119",0.999807666612997,5913
"120",0.999806803660541,5913
"121",0.99980247946734,5912
"122",0.999797894099214,5911
"123",0.999796687753129,5910
"124",0.999793599048835,5909
"125",0.999788349542745,5908
"126",0.999784435777775,5907
"127",0.999784377230776,5906
"128",0.999768520125774,5905
"129",0.999765912126016,5905
"130",0.999765057502341,5904
"131",0.99976189959527,5903
"132",0.999761445286878,5902
"133",0.999753083171655,5901
"134",0.999750105197095,5900
"135",0.999739022598169,5900
"136",0.999733544495352,5899
"137",0.999724184880926,5899
"138",0.999718459825479,5898
"139",0.99970941688346,5897
"140",0.999700431084691,5896
"141",0.999695114162555,5896
"142",0.999689483367664,5895
"143",0.999680973254273,5894
"144",0.999680681815357,5893
"145",0.999677966664186,5893
"146",0.999676525114902,5892
"147",0.999671364423617,5892
"148",0.999671192353528,5891
"149",0.999669042440713,5891
"150",0.99964695907705,5890
"151",0.99962523619492,5889
"152",0.999621660144194,5888
"153",0.999620320351346,5887
"154",0.99961175566356,5886
"155",0.99960169020052,5885
"156",0.999594175656746,5884
"157",0.999593081862488,5883
"158",0.999592269825936,5882
"159",0.999579837180217,5881
"160",0.999564739394851,5880
"161",0.99956374043443,5879
"162",0.99955831455587,5878
"163",0.999545990114079,5877
"164",0.999540650936724,5876
"165",0.999538524439679,5875
"166",0.999527719771628,5874
"167",0.999523724440887,5873
"168",0.99951530652613,5872
"169",0.999496669685012,5871
"170",0.99949405154511,5871
"171",0.999483321170563,5870
"172",0.999482625750937,5870
