"","cutoff_index","TN_ALL"
"1",8.1179005e+22,1
"2",9.691367e+21,2
"3",7.499395e+21,3
"4",5.183205e+21,4
"5",1.8600242e+21,5
"6",6.058559e+20,6
"7",3.3461956e+20,7
"8",7.761733e+19,8
"9",5.494795e+19,9
"10",4.755074e+19,10
"11",4.5287543e+19,11
"12",2.686268e+19,12
"13",2.024063e+19,12
"14",1.5670835e+19,13
"15",1.2497967e+19,14
"16",6.105799e+18,14
"17",5.8026754e+18,15
"18",4.9882457e+18,16
"19",4.2208322e+18,17
"20",4.0620127e+18,18
"21",3.908667e+18,18
"22",2.2406293e+18,19
"23",1.5115469e+18,20
"24",9.5214566e+17,20
"25",8.2964275e+17,21
"26",3.952166e+17,21
"27",3.8909576e+17,22
"28",3.252686e+17,22
"29",2.3574969e+17,23
"30",2.250325e+17,23
"31",2.184096e+17,24
"32",2.141099e+17,24
"33",1.1578798e+17,25
"34",1.0698747e+17,26
"35",1.064357e+17,26
"36",8.694603e+16,27
"37",8.679828e+16,28
"38",4.226125e+16,29
"39",3.676116e+16,30
"40",1.8420425e+16,30
"41",1.5049875e+16,30
"42",1.3543494e+16,31
"43",1.346776e+16,32
"44",1.3381692e+16,32
"45",1.0942994e+16,32
"46",9.221895e+15,32
"47",8.694108e+15,33
"48",8.2999207e+15,33
"49",7.3209344e+15,33
"50",5.6535116e+15,33
"51",5.5008647e+15,33
"52",5.415041e+15,33
"53",5.4117715e+15,34
"54",5.360442e+15,35
"55",5.236408e+15,36
"56",5.1226397e+15,37
"57",5.0755497e+15,37
"58",4.956888e+15,37
"59",4.8019984e+15,37
"60",4.7601284e+15,37
"61",4.526957e+15,37
"62",4.0246243e+15,38
"63",3.8064942e+15,39
"64",3.7962193e+15,39
"65",3.3554478e+15,40
"66",3.2418896e+15,40
"67",3.146366e+15,40
"68",3.1104432e+15,40
"69",3.0855936e+15,40
"70",3.0459355e+15,40
"71",3.0351844e+15,40
"72",2.778088e+15,41
"73",2.4247305e+15,41
"74",2.3685244e+15,42
"75",1.9533843e+15,42
"76",1.8674103e+15,42
"77",1.8317358e+15,42
"78",1.5236634e+15,42
"79",1.4791693e+15,42
"80",1.3916093e+15,42
"81",1.3795984e+15,43
"82",1.2461213e+15,43
"83",1.2113276e+15,44
"84",1.1692313e+15,45
"85",1.1629635e+15,46
"86",1.1199581e+15,47
"87",1.07953996e+15,48
"88",1.0599267e+15,48
"89",1.05466646e+15,48
"90",1.03094496e+15,48
"91",1.0052478e+15,49
"92",9.689449e+14,49
"93",9.581267e+14,50
"94",8.834842e+14,50
"95",8.7768066e+14,50
"96",8.738015e+14,51
"97",8.388871e+14,52
"98",7.6594185e+14,52
"99",7.596689e+14,53
"100",7.3695525e+14,53
"101",6.787007e+14,53
"102",6.61276e+14,54
"103",6.5841553e+14,54
"104",6.3298906e+14,54
"105",5.9194816e+14,55
"106",5.1572706e+14,56
"107",4.692266e+14,56
"108",4.361442e+14,56
"109",4.3339965e+14,57
"110",4.3000582e+14,57
"111",4.1091254e+14,58
"112",4.092963e+14,58
"113",4.0420897e+14,59
"114",3.9461025e+14,60
"115",3.7018467e+14,61
"116",3.619708e+14,61
"117",3.6196276e+14,61
"118",3.491478e+14,61
"119",3.4153056e+14,61
"120",3.264031e+14,61
"121",3.1301957e+14,61
"122",3.0000568e+14,62
"123",2.9866102e+14,62
"124",2.9684784e+14,63
"125",2.9625943e+14,64
"126",2.9059433e+14,64
"127",2.7578638e+14,65
"128",2.752978e+14,66
"129",2.7477849e+14,66
"130",2.7061363e+14,66
"131",2.633591e+14,66
"132",2.6034154e+14,67
"133",2.527933e+14,67
"134",2.5217394e+14,67
"135",2.3964069e+14,67
"136",2.325659e+14,67
"137",2.2294677e+14,68
"138",2.2031092e+14,69
"139",2.1667476e+14,69
"140",2.0201194e+14,69
"141",2.0093417e+14,70
"142",1.9351604e+14,70
"143",1.9140797e+14,70
"144",1.8867142e+14,70
"145",1.8585837e+14,71
"146",1.7708217e+14,71
"147",1.6972122e+14,71
"148",1.6899906e+14,71
"149",1.6534956e+14,71
"150",1.6203475e+14,72
"151",1.4940529e+14,73
"152",1.4050316e+14,73
"153",1.38042614e+14,73
"154",1.3612933e+14,73
"155",1.3522848e+14,73
"156",1.3493922e+14,73
"157",1.33689564e+14,73
"158",1.22118646e+14,74
"159",1.1360624e+14,75
"160",1.1249392e+14,75
"161",1.12032385e+14,75
"162",1.1189624e+14,75
"163",1.1005748e+14,75
"164",1.0989117e+14,75
"165",1.0771163e+14,76
"166",9.387892e+13,76
"167",9.359437e+13,77
"168",9.072759e+13,77
"169",8.530876e+13,78
"170",8.366485e+13,78
"171",8.175939e+13,78
"172",7.762044e+13,78
"173",7.686648e+13,78
"174",7.5621565e+13,78
"175",7.464257e+13,79
"176",7.346806e+13,80
"177",7.235354e+13,80
"178",7.119699e+13,80
"179",7.0553914e+13,81
"180",6.9529984e+13,81
"181",6.679823e+13,82
"182",6.5044704e+13,83
"183",6.4317488e+13,83
"184",6.417416e+13,84
"185",6.2137217e+13,84
"186",6.1061747e+13,84
"187",5.980978e+13,85
"188",5.8078095e+13,85
"189",5.6378303e+13,85
"190",5.246255e+13,85
"191",5.202467e+13,85
"192",4.941695e+13,85
"193",4.7598338e+13,85
"194",4.728967e+13,85
"195",4.650947e+13,86
"196",4.6168306e+13,86
"197",4.5225913e+13,86
"198",4.5066026e+13,86
"199",4.4215887e+13,86
"200",4.404472e+13,86
"201",4.371659e+13,86
"202",4.2112372e+13,86
"203",4.209321e+13,87
"204",4.1137478e+13,87
"205",4.0810695e+13,87
"206",3.881561e+13,87
"207",3.874679e+13,87
"208",3.870661e+13,87
"209",3.6569956e+13,87
"210",3.5200872e+13,87
"211",3.503561e+13,88
"212",3.4703384e+13,88
"213",3.4646205e+13,88
"214",3.321192e+13,88
"215",3.309803e+13,88
"216",2.9771721e+13,88
"217",2.9155008e+13,89
"218",2.8978748e+13,90
"219",2.8887556e+13,91
"220",2.7827636e+13,91
"221",2.6786335e+13,91
"222",2.5868542e+13,91
"223",2.5111023e+13,91
"224",2.4476882e+13,91
"225",2.3383849e+13,92
"226",2.3150499e+13,93
"227",2.3030898e+13,94
"228",2.1666036e+13,94
"229",2.1368033e+13,95
"230",2.110889e+13,95
"231",2.0934512e+13,95
"232",2.0587083e+13,95
"233",2.0062698e+13,96
"234",1.9729234e+13,96
"235",1.861127e+13,96
"236",1.8583147e+13,96
"237",1.7605933e+13,96
"238",1.7590385e+13,96
"239",1.7407736e+13,96
"240",1.7339318e+13,96
"241",1.708897e+13,96
"242",1.6621375e+13,97
"243",1.6353791e+13,98
"244",1.6236797e+13,98
"245",1.5937244e+13,98
"246",1.5844611e+13,98
"247",1.5545679e+13,99
"248",1.5321484e+13,99
"249",1.4327955e+13,99
"250",1.4164765e+13,99
"251",1.3927286e+13,99
"252",1.3889214e+13,99
"253",1.3111742e+13,100
"254",1.2954719e+13,101
"255",1.2913705e+13,101
"256",1.2004937e+13,101
"257",1.1774345e+13,101
"258",1.1772807e+13,101
"259",1.1686476e+13,101
"260",1.1482146e+13,102
"261",1.130087e+13,102
"262",1.0791753e+13,102
"263",1.0272882e+13,102
"264",1.0201143e+13,103
"265",9.88957e+12,103
"266",9.778902e+12,103
"267",9.442836e+12,103
"268",9.353322e+12,104
"269",9.311064e+12,104
"270",9.098258e+12,104
"271",9.07739e+12,104
"272",9.077063e+12,104
"273",8476053500000,105
"274",8.426853e+12,106
"275",8.09531e+12,106
"276",8011496600000,106
"277",7.740907e+12,106
"278",7719893300000,106
"279",7.668299e+12,106
"280",7.491655e+12,106
"281",7.352745e+12,106
"282",7.34839e+12,106
"283",7.236159e+12,106
"284",7128219600000,106
"285",7.033099e+12,107
"286",6833678300000,107
"287",6.816141e+12,108
"288",6.81279e+12,108
"289",6.508501e+12,108
"290",6223888400000,108
"291",6086408500000,108
"292",5821382500000,109
"293",5.586228e+12,110
"294",5.501434e+12,110
"295",5.148193e+12,110
"296",5.084294e+12,110
"297",4.88573e+12,110
"298",4.753734e+12,110
"299",4.725431e+12,110
"300",4679845500000,110
"301",4.659333e+12,110
"302",4.632974e+12,110
"303",4483071300000,111
"304",4430874300000,111
"305",4428443700000,111
"306",4.424399e+12,111
"307",4260786900000,111
"308",4231975400000,111
"309",4.128155e+12,112
"310",3867293800000,112
"311",3832624700000,112
"312",3797741700000,112
"313",3761923700000,112
"314",3588415800000,113
"315",3.576662e+12,113
"316",3575765500000,113
"317",3.54706e+12,113
"318",3455783500000,114
"319",3318462300000,114
"320",3245269300000,115
"321",3225322300000,115
"322",3.192346e+12,116
"323",3017734400000,116
"324",2949008900000,116
"325",2896473400000,116
"326",2855669900000,116
"327",2790276200000,116
"328",2697923700000,116
"329",2.65255e+12,116
"330",2.520948e+12,116
"331",2520370600000,116
"332",2484117700000,116
"333",2322104300000,117
"334",2305111600000,117
"335",2266126600000,118
"336",2234017600000,119
"337",2206500400000,119
"338",2.202177e+12,119
"339",2.17803e+12,119
"340",2.080839e+12,120
"341",2072427600000,120
"342",2.071561e+12,121
"343",2059745900000,121
"344",1983491300000,122
"345",1975096700000,122
"346",1938790500000,122
"347",1852174900000,122
"348",1849738800000,122
"349",1827803100000,122
"350",1788308600000,122
"351",1782666900000,122
"352",1771892200000,122
"353",1740255100000,123
"354",1728006300000,124
"355",1664749900000,124
"356",1653428800000,125
"357",1616231400000,126
"358",1.609093e+12,126
"359",1598776900000,127
"360",1586316800000,127
"361",1576355200000,127
"362",1533398100000,127
"363",1525724900000,127
"364",1520272100000,127
"365",1517834700000,128
"366",1517500100000,128
"367",1485622100000,128
"368",1455642400000,129
"369",1404875800000,129
"370",1382971100000,129
"371",1371984900000,129
"372",1358957600000,129
"373",1345098200000,129
"374",1341935700000,129
"375",1339218500000,129
"376",1331551400000,129
"377",1305541300000,129
"378",1277538900000,129
"379",1252224100000,129
"380",1.238442e+12,129
"381",1226047900000,129
"382",1189992200000,130
"383",1188518600000,130
"384",1186546800000,130
"385",1181649300000,130
"386",1166372400000,130
"387",1153028700000,131
"388",1117614100000,131
"389",1116726100000,131
"390",1104491700000,132
"391",1098035800000,132
"392",1089230300000,132
"393",1082695940000,132
"394",1049215200000,132
"395",1048075960000,133
"396",1021006100000,134
"397",1008651800000,134
"398",976665640000,134
"399",975934850000,134
"400",947407400000,134
"401",922988640000,134
"402",920057200000,134
"403",917296450000,134
"404",913979600000,134
"405",896179900000,134
"406",8.93995e+11,134
"407",879844600000,135
"408",868025700000,135
"409",850488260000,135
"410",840172100000,135
"411",825072940000,135
"412",814877600000,135
"413",801788400000,136
"414",790916900000,136
"415",789011200000,136
"416",784968450000,137
"417",777351600000,137
"418",772734450000,137
"419",772546900000,137
"420",769315300000,137
"421",762180300000,137
"422",756437940000,138
"423",754738400000,138
"424",753871500000,138
"425",749456850000,138
"426",748573800000,138
"427",718186700000,138
"428",715937100000,138
"429",705458340000,138
"430",6.98275e+11,139
"431",6.78911e+11,140
"432",676326400000,140
"433",6.68504e+11,140
"434",648629800000,140
"435",613627700000,141
"436",611474100000,142
"437",600977050000,142
"438",600474300000,142
"439",591279550000,143
"440",589874900000,143
"441",589278800000,143
"442",588270600000,143
"443",587012700000,143
"444",571786260000,144
"445",567440640000,144
"446",566503100000,144
"447",560865100000,144
"448",558547300000,144
"449",549766200000,144
"450",549661470000,144
"451",546888600000,144
"452",533588800000,145
"453",516571270000,145
"454",516126800000,145
"455",508517450000,145
"456",507483400000,145
"457",504547600000,146
"458",502609250000,147
"459",500195260000,147
"460",496860100000,147
"461",488017130000,147
"462",486032280000,147
"463",481556800000,147
"464",480733500000,147
"465",477042770000,147
"466",470533440000,147
"467",466801100000,147
"468",460889550000,147
"469",455800880000,147
"470",446234260000,147
"471",445214800000,148
"472",425921280000,148
"473",423585300000,149
"474",421736640000,150
"475",411104870000,151
"476",409154360000,151
"477",405989620000,151
"478",403691040000,151
"479",403058980000,151
"480",390633980000,151
"481",388894430000,151
"482",387820130000,151
"483",382700100000,152
"484",3.76728e+11,152
"485",376278800000,152
"486",372146470000,152
"487",366049920000,152
"488",363400800000,152
"489",358262670000,152
"490",357066870000,152
"491",348746780000,153
"492",347426980000,153
"493",344881560000,153
"494",344598740000,154
"495",336816100000,154
"496",3.35873e+11,154
"497",330314650000,154
"498",327405100000,154
"499",326337760000,154
"500",325101420000,154
"501",323108040000,154
"502",322649200000,155
"503",319859430000,155
"504",313566860000,155
"505",313025360000,156
"506",309423640000,157
"507",308742600000,157
"508",304959520000,157
"509",304903230000,157
"510",304419080000,157
"511",304386300000,157
"512",296277250000,157
"513",296265350000,157
"514",292909700000,157
"515",292873500000,158
"516",284779680000,158
