"","cutoffIndex","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","data_presision_U"
"1",0.99998045,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923333984165495
"2",0.99997807,0,0,0.0392117647136094,0.0392117647136094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9234048061173
"3",0.9999759,0,0,0.0392117647136094,0.0392117647136094,0,0,0,0,0,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0.923475638934368
"4",0.9999745,0,0,0.0392117647136094,0.0392117647136094,0,0,0,0,0,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0.923393061325947
"5",0.99997437,0,0,0.0392117647136094,0.0769155329144856,0,0,0,0,0,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0.923463904111096
"6",0.9999739,0,0,0.113196654305603,0.0769155329144856,0,0,0,0,0,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0.923605622296782
"7",0.9999739,0,0,0.113196654305603,0.0769155329144856,0,0,0,0,0,0,0,0,0.0392117647136094,0,0,0,0,0,0,0,0.923605622296782
"8",0.9999734,0,0,0.113196654305603,0.0769155329144856,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923676497702324
"9",0.99997115,0,0,0.14813415735705,0.0769155329144856,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923747383986337
"10",0.9999703,0,0,0.181801323546723,0.0769155329144856,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923818281151327
"11",0.99996924,0,0,0.181801323546723,0.0769155329144856,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923735685478955
"12",0.99996686,0,0,0.181801323546723,0.113196654305603,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923806592630813
"13",0.9999666,0,0,0.181801323546723,0.14813415735705,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923877510669357
"14",0.9999654,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923948439597095
"15",0.9999652,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0,0,0,0,0.0769155329144856,0,0,0,0,0,0,0,0.923865828554433
"16",0.999962,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923783204826305
"17",0.99995947,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0.0392117647136094,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923854142853376
"18",0.99995804,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0.0392117647136094,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923771505539007
"19",0.9999573,0,0,0.181801323546723,0.181801323546723,0,0,0,0,0.0392117647136094,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923688855532212
"20",0.99995625,0,0,0.214266200437897,0.181801323546723,0,0,0,0,0.0392117647136094,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923759802659474
"21",0.99995434,0,0,0.214266200437897,0.181801323546723,0,0,0,0,0.0392117647136094,0,0,0,0.0754608769522631,0,0,0,0,0,0,0,0.923677139057952
"22",0.9999535,0,0,0.214266200437897,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.92381906421688
"23",0.9999535,0,0,0.214266200437897,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.92381906421688
"24",0.99995244,0,0,0.214266200437897,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.923736386117084
"25",0.99995124,0,0,0.245592060753471,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.923807364154762
"26",0.99995065,0,0,0.245592060753471,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.923724672450915
"27",0.9999486,0,0,0.275837813963947,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.111097189330296,0,0,0,0,0,0,0,0.923795660498241
"28",0.9999485,0,0,0.275837813963947,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923866659457239
"29",0.99994814,0,0,0.275837813963947,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923783953245663
"30",0.999948,0,0,0.275837813963947,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.92370123432034
"31",0.9999473,0,0,0.275837813963947,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923618502678339
"32",0.99994636,0,0,0.30505837602262,0.214266200437897,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923689509852616
"33",0.9999455,0,0,0.30505837602262,0.245592060753471,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.9237605279457
"34",0.9999453,0,0,0.333305002130398,0.245592060753471,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.92383155696011
"35",0.99994445,0,0,0.333305002130398,0.245592060753471,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923748809894996
"36",0.999944,0,0.0392117647136094,0.333305002130398,0.275837813963947,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923890898899048
"37",0.999944,0,0.0392117647136094,0.333305002130398,0.275837813963947,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923890898899048
"38",0.9999435,0,0.0392117647136094,0.333305002130398,0.275837813963947,0,0,0,0,0.0392117647136094,0,0,0,0.145437753674263,0,0,0,0,0,0,0,0.923808137306978
