"","x"
"1",0.042547358871719
"2",0.0595920182399914
"3",0.0732259279131465
"4",0.0838916739929378
"5",0.0940701131731431
"6",0.102290923959916
"7",0.109632356193661
"8",0.117310568150539
"9",0.124796693438029
"10",0.130672267523444
"11",0.137434418359565
"12",0.143408727635372
"13",0.143402319455861
"14",0.148929831764249
"15",0.154899064972077
"16",0.154892142581665
"17",0.15984089825491
"18",0.159847035761423
"19",0.16431910099301
"20",0.169544862635792
"21",0.169537285888437
"22",0.173617399882898
"23",0.177470957760199
"24",0.177463025925588
"25",0.181648308068543
"26",0.181640188095517
"27",0.186205869403941
"28",0.186197544226826
"29",0.189678010375772
"30",0.189669528459126
"31",0.194216218553636
"32",0.194207532161693
"33",0.197907322786801
"34",0.201079937313624
"35",0.201070942940652
"36",0.205054884981797
"37",0.208822926848572
"38",0.212393933840694
"39",0.215260326384287
"40",0.21525069792217
"41",0.215241067547883
"42",0.217980994843888
"43",0.222108485777697
"44",0.222098547480675
"45",0.222088607209322
"46",0.222078664963022
"47",0.225831198133261
"48",0.225821086549703
"49",0.22581097295661
"50",0.225800857353353
"51",0.225790739739303
"52",0.225780620113827
"53",0.225789312913176
"54",0.228980939819016
"55",0.232763162084904
"56",0.232772125790384
"57",0.232761693488255
"58",0.232751259111294
"59",0.23274082265885
"60",0.232730384130274
"61",0.232719943524913
"62",0.236171156812556
"63",0.236180256666302
"64",0.236169660113817
"65",0.238592155953782
"66",0.238581449286002
"67",0.238570740487071
"68",0.238560029556321
"69",0.238549316493083
"70",0.238538601296686
"71",0.238527883966462
"72",0.241447097172906
"73",0.241436247236456
"74",0.243733434880939
"75",0.243722480254044
"76",0.243711523444694
"77",0.243700564452204
"78",0.243689603275888
"79",0.24367863991506
"80",0.243667674369034
"81",0.246429085534272
"82",0.246417994242223
"83",0.250002946319134
"84",0.252155238349891
"85",0.254226481122212
"86",0.257275063772817
"87",0.259246899569229
"88",0.259235232383059
"89",0.259223562869978
"90",0.259211891029253
"91",0.259221900258501
"92",0.259210226411713
"93",0.262688504088072
"94",0.262676672016108
"95",0.262664837583051
"96",0.265967054035263
"97",0.268417296422062
"98",0.268405201999308
"99",0.270241917930841
"100",0.270229739121311
"101",0.270217557880331
"102",0.272986492471042
"103",0.272974184766591
"104",0.272961874604279
"105",0.276267301077749
"106",0.278550718000759
"107",0.278538154946413
"108",0.278525589382409
"109",0.280718157302274
"110",0.280705491130827
"111",0.282812835432999
"112",0.282800072468737
"113",0.284827261319515
"114",0.286510631273227
"115",0.288947607430489
"116",0.288934567012005
"117",0.288921523986716
"118",0.288908478353803
"119",0.288895430112441
"120",0.288882379261809
"121",0.288869325801085
"122",0.290482651740045
"123",0.290469523621155
"124",0.292029975585376
"125",0.295122430945027
"126",0.295109091633544
"127",0.297999171024862
"128",0.30042599571509
"129",0.300412415157647
"130",0.300398831882309
"131",0.300385245888218
"132",0.300396881834409
"133",0.300383293495923
"134",0.30036970243692
"135",0.300356108656543
"136",0.30034251215393
"137",0.30181124591706
"138",0.301822942539288
"139",0.301809278094392
"140",0.301795610912233
"141",0.304566646039227
"142",0.304552851519484
"143",0.304539054235658
"144",0.304525254186874
"145",0.306741154600942
"146",0.30672725227163
"147",0.30671334715554
"148",0.306699439251792
"149",0.306685528559504
"150",0.308498472500163
"151",0.311209269326546
"152",0.311195152488588
"153",0.311181032819289
"154",0.311166910317754
"155",0.311152784983087
"156",0.311138656814391
"157",0.311124525810771
"158",0.312857780243241
"159",0.315634302581886
"160",0.315619965773693
"161",0.315605626087784
"162",0.315591283523249
"163",0.315576938079176
"164",0.315562589754654
"165",0.317220931196961
"166",0.317206505529741
"167",0.31940725029758
"168",0.319392722593041
"169",0.322220144728895
"170",0.32220548644645
"171",0.322190825218978
"172",0.322176161045545
"173",0.322161493925218
"174",0.322146823857063
"175",0.323479489311038
"176",0.325050437982189
"177",0.325035634677002
"178",0.325020828395657
"179",0.327096584861328
"180",0.327081682011978
"181",0.328360050636299
"182",0.329863682970304
"183",0.329848652337281
"184",0.332339447205456
"185",0.33232430103062
"186",0.332309151808731
"187",0.333535123681059
"188",0.333519916520268
"189",0.333504706299304
"190",0.333489493017199
"191",0.333474276672978
"192",0.333459057265672
"193",0.333443834794306
"194",0.333428609257908
"195",0.334867063826429
"196",0.334851770540787
"197",0.334836474174999
"198",0.334821174728088
"199",0.334805872199073
"200",0.334790566586977
"201",0.334775257890818
"202",0.334759946109617
"203",0.334772985348928
"204",0.334757670901095
"205",0.334742353366204
"206",0.334727032743272
"207",0.334711709031316
"208",0.334696382229356
"209",0.334681052336407
"210",0.334665719351486
"211",0.33585009337868
"212",0.33583470404725
"213",0.335680863810158
"214",0.335665474615193
"215",0.335650082314709
"216",0.335634686907717
"217",0.337575552307241
"218",0.340246841990038
"219",0.342162199734088
"220",0.342146504867515
"221",0.342130806832201
"222",0.342115105627136
"223",0.342099401251312
"224",0.342083693703717
"225",0.343445205079601
"226",0.345280910319653
"227",0.347048866644685
"228",0.347032931061975
"229",0.349632291028751
"230",0.349616233906257
"231",0.349600173539027
"232",0.349584109926027
"233",0.35188547628572
"234",0.351869304728148
"235",0.351853129901425
"236",0.351836951804506
"237",0.351820770436348
"238",0.351804585795908
"239",0.351788397882142
"240",0.351772206694005
"241",0.351756012230452
"242",0.354318928362652
"243",0.355409677006062
"244",0.355393313191703
"245",0.355376946065933
"246",0.355360575627694
"247",0.356420873020137
"248",0.356404451502708
"249",0.356388026660875
"250",0.356371598493575
"251",0.356355166999747
"252",0.356338732178326
