"","cutoff_index","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
"1",8.1179005e+22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6020
"2",9.691367e+21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6020
"3",7.499395e+21,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,6020
"4",5.183205e+21,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6020
"5",1.8600242e+21,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,6020
"6",6.058559e+20,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6020
"7",3.3461956e+20,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6020
"8",7.761733e+19,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,6020
"9",5.494795e+19,0,0,1,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,6020
"10",4.755074e+19,0,0,1,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,6020
"11",4.5287543e+19,0,0,1,1,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,6020
"12",2.686268e+19,0,0,1,1,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,6020
"13",2.024063e+19,0,0,1,1,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,6019
"14",1.5670835e+19,0,0,1,1,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,6019
"15",1.2497967e+19,1,0,1,1,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,6019
"16",6.105799e+18,1,0,1,1,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,0,6018
"17",5.8026754e+18,1,0,1,1,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0,0,6018
"18",4.9882457e+18,1,0,1,1,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0,0,6018
"19",4.2208322e+18,1,0,1,1,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,0,6018
"20",4.0620127e+18,1,0,2,1,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,0,6018
"21",3.908667e+18,1,0,2,1,0,0,0,0,5,0,0,0,7,1,0,0,0,0,0,0,6017
"22",2.2406293e+18,1,0,2,1,0,0,0,0,5,0,0,0,8,1,0,0,0,0,0,0,6017
"23",1.5115469e+18,1,0,2,1,0,0,0,0,5,0,0,0,9,1,0,0,0,0,0,0,6017
"24",9.5214566e+17,1,0,2,1,0,0,0,0,5,0,0,0,9,1,0,0,0,0,0,0,6016
"25",8.2964275e+17,1,0,2,1,0,0,0,0,6,0,0,0,9,1,0,0,0,0,0,0,6016
"26",3.952166e+17,1,0,2,1,0,0,0,0,6,0,0,0,9,1,0,0,0,0,0,0,6015
"27",3.8909576e+17,1,0,3,1,0,0,0,0,6,0,0,0,9,1,0,0,0,0,0,0,6015
"28",3.252686e+17,1,0,3,1,0,0,0,0,6,0,0,0,9,1,0,0,0,0,0,0,6014
"29",2.3574969e+17,1,0,3,1,0,0,0,0,6,0,0,0,10,1,0,0,0,0,0,0,6014
"30",2.250325e+17,1,0,3,1,0,0,0,0,6,0,0,0,10,1,0,0,0,0,0,0,6013
"31",2.184096e+17,1,0,3,2,0,0,0,0,6,0,0,0,10,1,0,0,0,0,0,0,6013
"32",2.141099e+17,1,0,3,2,0,0,0,0,6,0,0,0,10,1,0,0,0,0,0,0,6012
"33",1.1578798e+17,1,0,3,2,0,0,0,0,7,0,0,0,10,1,0,0,0,0,0,0,6012
"34",1.0698747e+17,1,0,3,2,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,0,6012
"35",1.064357e+17,1,0,3,2,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,0,6011
"36",8.694603e+16,1,0,4,2,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,0,6011
"37",8.679828e+16,1,0,5,2,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,0,6011
"38",4.226125e+16,1,0,6,2,0,0,0,0,7,0,0,0,11,1,0,0,0,0,0,0,6011
"39",3.676116e+16,1,0,6,2,0,0,0,0,7,0,0,0,12,1,0,0,0,0,0,0,6011
"40",1.8420425e+16,1,0,6,2,0,0,0,0,7,0,0,0,12,1,0,0,0,0,0,0,6010
"41",1.5049875e+16,1,0,6,2,0,0,0,0,7,0,0,0,12,1,0,0,0,0,0,0,6009
"42",1.3543494e+16,1,0,6,2,0,0,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6009
"43",1.346776e+16,1,0,6,2,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6009
"44",1.3381692e+16,1,0,6,2,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6008
"45",1.0942994e+16,1,0,6,2,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6007
"46",9.221895e+15,1,0,6,2,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6006
"47",8.694108e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6006
"48",8.2999207e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6005
"49",7.3209344e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6004
"50",5.6535116e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6003
"51",5.5008647e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6002
"52",5.415041e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6001
"53",5.4117715e+15,1,0,6,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6001
"54",5.360442e+15,1,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6001
"55",5.236408e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6001
"56",5.1226397e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6001
"57",5.0755497e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,6000
"58",4.956888e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,5999
"59",4.8019984e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,5998
"60",4.7601284e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,5997
"61",4.526957e+15,2,0,7,3,0,1,0,0,7,0,0,0,13,1,0,0,0,0,0,0,5996
