detection_classes,detection_scores
1,0.9168781
38,0.8294538
1,0.7785058
38,0.76998395
38,0.7555541
1,0.63422847
38,0.60742277
1,0.5890335
1,0.5124015
1,0.50146586
1,0.45562494
38,0.41762325
38,0.27232316
1,0.23166722
38,0.15385723
38,0.14559335
16,0.14349017
38,0.14013153
1,0.13811764
1,0.13806286
38,0.13757327
38,0.133338
1,0.13266507
38,0.13232586
1,0.13198799
38,0.11260897
16,0.10983896
38,0.1098353
1,0.1055294
38,0.10532963
1,0.10395604
1,0.10345784
9,0.10199106
38,0.09909433
38,0.09681824
1,0.09407887
1,0.092870474
16,0.09211832
1,0.088081926
38,0.086850256
1,0.082980126
34,0.0794822
38,0.07784471
38,0.074614584
38,0.070996135
38,0.06890899
1,0.06855658
1,0.06851745
38,0.066933155
1,0.06641734
38,0.06566101
38,0.06417319
38,0.06338608
38,0.06278509
38,0.0625048
38,0.061880767
1,0.06158212
38,0.061202765
16,0.05966562
38,0.05857438
38,0.05827701
38,0.05767855
1,0.057572514
16,0.05558741
38,0.055493146
38,0.055370957
1,0.05516082
9,0.05510336
38,0.054561824
38,0.05284542
1,0.05272007
38,0.052615374
1,0.05242291
38,0.052330405
38,0.05138284
38,0.051288277
9,0.05124709
38,0.050885975
38,0.050815165
38,0.050634176
38,0.050533205
1,0.049868166
38,0.049726725
38,0.049280167
1,0.04916495
38,0.048778713
16,0.048426062
38,0.04833725
38,0.04806882
42,0.047611862
1,0.04719764
38,0.04702902
1,0.046794087
38,0.046483994
38,0.04643148
1,0.046185434
38,0.045509994
38,0.044944435
1,0.04467982
38,0.04456854
